task,row,col,x,y_coord,label,confidence,dem,slope,aspect,twi_proxy,2012_ndvi_point,2013_ndvi_point,2014_ndvi_point,ndvi_time_mean,ndvi_time_min,ndvi_time_max,ndvi_time_std,ndvi_time_range
subtype,8,3748,121.42078537801513,53.265604771867025,0,1.0,539.0,7.915724,256.45386,1.9729778,7760.0,7598.0,8007.0,7788.3335,7598.0,8007.0,168.1712,409.0
subtype,12,3720,121.16925709846166,53.22967216050225,0,1.0,532.0,1.9848493,128.79152,3.3622549,7855.0,7789.0,8047.0,7897.0,7789.0,8047.0,109.43491,258.0
subtype,13,3720,121.16925709846166,53.22068900766105,0,1.0,755.0,8.21888,119.24406,1.934894,7855.0,7789.0,8047.0,7897.0,7789.0,8047.0,109.43491,258.0
subtype,13,3730,121.2590886268736,53.22068900766105,0,1.0,791.0,8.706182,272.0313,1.876449,7764.0,7581.0,8136.0,7827.0,7581.0,8136.0,230.91557,555.0
subtype,15,3700,120.98959404163776,53.20272270197866,0,1.0,672.0,8.877031,346.67627,1.8567067,7486.0,7662.0,7978.0,7708.6665,7486.0,7978.0,203.5507,492.0
subtype,16,3672,120.73806576208429,53.19373954913747,0,1.0,469.0,6.2019176,138.52428,2.2194428,7474.0,7286.0,7714.0,7491.3335,7286.0,7714.0,175.1596,428.0
subtype,16,3673,120.74704891492547,53.19373954913747,0,1.0,536.0,14.4531355,135.7262,1.3557801,7474.0,7286.0,7714.0,7491.3335,7286.0,7714.0,175.1596,428.0
subtype,19,3749,121.42976853085631,53.16679009061388,0,1.0,653.0,5.370592,191.02708,2.3643434,7497.0,7349.0,7968.0,7604.6665,7349.0,7968.0,263.92465,619.0
subtype,23,3768,121.60044843483902,53.1308574792491,0,1.0,583.0,4.201994,301.14136,2.610859,7443.0,7562.0,8075.0,7693.3335,7443.0,8075.0,274.21686,632.0
subtype,24,3747,121.41180222517393,53.121874326407905,0,1.0,430.0,15.428326,282.49454,1.287431,7422.0,7599.0,7944.0,7655.0,7422.0,7944.0,216.75331,522.0
